T09,Health Personnel,,,,,
4,Afghanistan,2015,Health personnel: Pharmacists (per 1000 population),0.0497,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2015,Health personnel: Nurses and midwives (number),4471.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2015,Health personnel: Nurses and midwives personnel (per 1000 population),0.1299,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2016,Health personnel: Physicians (number),9842.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2016,Health personnel: Physicians (per 1000 population),2.7800,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2016,Health personnel: Dentists (number),120.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2016,Health personnel: Dentists (per 1000 population),0.0035,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2016,Health personnel: Pharmacists (number),1675.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2016,Health personnel: Pharmacists (per 1000 population),0.0473,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2016,Health personnel: Nurses and midwives (number),5243.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2016,Health personnel: Nurses and midwives personnel (per 1000 population),0.1482,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2017,Health personnel: Nurses and midwives (number),6370.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2017,Health personnel: Nurses and midwives personnel (per 1000 population),0.1755,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
8,Albania,2003,Health personnel: Physicians (number),3699.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
8,Albania,2003,Health personnel: Physicians (per 1000 population),11.8600,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
8,Albania,2003,Health personnel: Pharmacists (number),1100.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
8,Albania,2003,Health personnel: Pharmacists (per 1000 population),0.3528,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
8,Albania,2003,Health personnel: Nurses and midwives (number),11238.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
8,Albania,2003,Health personnel: Nurses and midwives personnel (per 1000 population),3.6042,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
8,Albania,2004,Health personnel: Physicians (number),3699.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
8,Albania,2004,Health personnel: Physicians (per 1000 population),11.9100,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
8,Albania,2004,Health personnel: Nurses and midwives (number),11136.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
8,Albania,2004,Health personnel: Nurses and midwives personnel (per 1000 population),3.5866,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
8,Albania,2005,Health personnel: Nurses and midwives (number),11136.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
8,Albania,2005,Health personnel: Nurses and midwives personnel (per 1000 population),3.6076,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
8,Albania,2006,Health personnel: Physicians (number),3626.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
8,Albania,2006,Health personnel: Physicians (per 1000 population),11.8400,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
8,Albania,2006,Health personnel: Dentists (number),1035.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
8,Albania,2006,Health personnel: Dentists (per 1000 population),0.3389,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
8,Albania,2006,Health personnel: Pharmacists (number),1173.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
8,Albania,2006,Health personnel: Pharmacists (per 1000 population),0.3830,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
8,Albania,2006,Health personnel: Nurses and midwives (number),12746.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
8,Albania,2006,Health personnel: Nurses and midwives personnel (per 1000 population),4.1613,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
8,Albania,2010,Health personnel: Physicians (number),3640.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
8,Albania,2010,Health personnel: Physicians (per 1000 population),12.3500,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
8,Albania,2010,Health personnel: Pharmacists (number),1324.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
8,Albania,2010,Health personnel: Pharmacists (per 1000 population),0.4491,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
8,Albania,2010,Health personnel: Nurses and midwives (number),11846.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
8,Albania,2010,Health personnel: Nurses and midwives personnel (per 1000 population),4.0183,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
8,Albania,2013,Health personnel: Physicians (number),3709.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
8,Albania,2013,Health personnel: Physicians (per 1000 population),12.7700,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
8,Albania,2013,Health personnel: Pharmacists (number),2441.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
8,Albania,2013,Health personnel: Pharmacists (per 1000 population),0.8406,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
8,Albania,2013,Health personnel: Nurses and midwives (number),12455.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
8,Albania,2013,Health personnel: Nurses and midwives personnel (per 1000 population),4.2892,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
8,Albania,2016,Health personnel: Physicians (number),3511.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
8,Albania,2016,Health personnel: Physicians (per 1000 population),12.1600,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
8,Albania,2016,Health personnel: Nurses and midwives (number),10534.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
8,Albania,2016,Health personnel: Nurses and midwives personnel (per 1000 population),3.6495,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
12,Algeria,2002,Health personnel: Physicians (number),35368.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
12,Algeria,2002,Health personnel: Physicians (per 1000 population),11.1000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
12,Algeria,2002,Health personnel: Dentists (number),8861.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
12,Algeria,2002,Health personnel: Dentists (per 1000 population),0.2769,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
12,Algeria,2002,Health personnel: Pharmacists (number),5413.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
12,Algeria,2002,Health personnel: Pharmacists (per 1000 population),0.1699,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
12,Algeria,2002,Health personnel: Nurses and midwives (number),69749.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
12,Algeria,2002,Health personnel: Nurses and midwives personnel (per 1000 population),2.1896,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
12,Algeria,2005,Health personnel: Physicians (number),33952.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
12,Algeria,2005,Health personnel: Physicians (per 1000 population),10.2400,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
12,Algeria,2005,Health personnel: Dentists (number),9022.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
12,Algeria,2005,Health personnel: Dentists (per 1000 population),0.2710,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
12,Algeria,2005,Health personnel: Pharmacists (number),6104.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
12,Algeria,2005,Health personnel: Pharmacists (per 1000 population),0.1841,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
12,Algeria,2007,Health personnel: Physicians (number),40857.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
12,Algeria,2007,Health personnel: Physicians (per 1000 population),11.9600,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
12,Algeria,2007,Health personnel: Dentists (number),10621.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
12,Algeria,2007,Health personnel: Dentists (per 1000 population),0.3096,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
12,Algeria,2007,Health personnel: Pharmacists (number),7417.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
12,Algeria,2007,Health personnel: Pharmacists (per 1000 population),0.2171,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
12,Algeria,2007,Health personnel: Nurses and midwives (number),65919.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
12,Algeria,2007,Health personnel: Nurses and midwives personnel (per 1000 population),1.9293,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
12,Algeria,2014,Health personnel: Nurses and midwives (number),11139.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
12,Algeria,2014,Health personnel: Nurses and midwives personnel (per 1000 population),0.2862,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
12,Algeria,2017,Health personnel: Physicians (number),74000.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
12,Algeria,2017,Health personnel: Physicians (per 1000 population),17.8800,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
12,Algeria,2017,Health personnel: Nurses and midwives (number),92000.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
12,Algeria,2017,Health personnel: Nurses and midwives personnel (per 1000 population),2.2228,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
12,Algeria,2018,Health personnel: Physicians (number),72604.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
12,Algeria,2018,Health personnel: Physicians (per 1000 population),17.1900,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
12,Algeria,2018,Health personnel: Pharmacists (number),18807.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
12,Algeria,2018,Health personnel: Pharmacists (per 1000 population),0.4454,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
12,Algeria,2018,Health personnel: Nurses and midwives personnel (per 1000 population),1.5477,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
20,Andorra,2003,Health personnel: Physicians (number),244.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
20,Andorra,2003,Health personnel: Physicians (per 1000 population),33.3300,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
20,Andorra,2003,Health personnel: Dentists (number),44.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
20,Andorra,2003,Health personnel: Dentists (per 1000 population),0.6011,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
20,Andorra,2003,Health personnel: Pharmacists (number),68.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
20,Andorra,2003,Health personnel: Pharmacists (per 1000 population),0.9290,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
20,Andorra,2003,Health personnel: Nurses and midwives (number),215.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
20,Andorra,2003,Health personnel: Nurses and midwives personnel (per 1000 population),2.9372,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
20,Andorra,2005,Health personnel: Physicians (number),255.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
20,Andorra,2005,Health personnel: Physicians (per 1000 population),32.3200,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
20,Andorra,2005,Health personnel: Pharmacists (number),72.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
20,Andorra,2005,Health personnel: Pharmacists (per 1000 population),0.9125,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
20,Andorra,2005,Health personnel: Nurses and midwives (number),266.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
20,Andorra,2005,Health personnel: Nurses and midwives personnel (per 1000 population),3.3714,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
20,Andorra,2009,Health personnel: Physicians (number),266.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
20,Andorra,2009,Health personnel: Physicians (per 1000 population),31.4800,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
20,Andorra,2009,Health personnel: Pharmacists (number),78.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
20,Andorra,2009,Health personnel: Pharmacists (per 1000 population),0.9231,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
20,Andorra,2009,Health personnel: Nurses and midwives (number),311.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
20,Andorra,2009,Health personnel: Nurses and midwives personnel (per 1000 population),3.6805,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
20,Andorra,2015,Health personnel: Physicians (number),260.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
20,Andorra,2015,Health personnel: Physicians (per 1000 population),33.3300,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
20,Andorra,2015,Health personnel: Dentists (number),64.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
20,Andorra,2015,Health personnel: Dentists (per 1000 population),0.8205,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
20,Andorra,2015,Health personnel: Pharmacists (number),79.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
20,Andorra,2015,Health personnel: Pharmacists (per 1000 population),1.0128,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
20,Andorra,2015,Health personnel: Nurses and midwives (number),313.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
20,Andorra,2015,Health personnel: Nurses and midwives personnel (per 1000 population),4.0128,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
24,Angola,2004,Health personnel: Physicians (number),1165.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
24,Angola,2004,Health personnel: Physicians (per 1000 population),0.6200,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
24,Angola,2004,Health personnel: Dentists (number),222.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
24,Angola,2004,Health personnel: Dentists (per 1000 population),0.0118,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
24,Angola,2004,Health personnel: Nurses and midwives (number),18485.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
24,Angola,2004,Health personnel: Nurses and midwives personnel (per 1000 population),0.9854,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
24,Angola,2009,Health personnel: Physicians (number),2956.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
24,Angola,2009,Health personnel: Physicians (per 1000 population),1.3100,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
24,Angola,2009,Health personnel: Nurses and midwives (number),29592.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
24,Angola,2009,Health personnel: Nurses and midwives personnel (per 1000 population),1.3144,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
24,Angola,2013,Health personnel: Nurses and midwives (number),30.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
24,Angola,2013,Health personnel: Nurses and midwives personnel (per 1000 population),0.0012,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
24,Angola,2017,Health personnel: Physicians (number),6400.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
24,Angola,2017,Health personnel: Physicians (per 1000 population),2.1500,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
24,Angola,2018,Health personnel: Nurses and midwives personnel (per 1000 population),0.4075,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
28,Antigua and Barbuda,2007,Health personnel: Physicians (number),144.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
28,Antigua and Barbuda,2007,Health personnel: Physicians (per 1000 population),17.1400,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
28,Antigua and Barbuda,2007,Health personnel: Pharmacists (number),15.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
28,Antigua and Barbuda,2007,Health personnel: Pharmacists (per 1000 population),0.1786,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
28,Antigua and Barbuda,2007,Health personnel: Nurses and midwives (number),277.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
28,Antigua and Barbuda,2007,Health personnel: Nurses and midwives personnel (per 1000 population),3.2976,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
28,Antigua and Barbuda,2008,Health personnel: Physicians (number),45.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
28,Antigua and Barbuda,2008,Health personnel: Physicians (per 1000 population),5.2700,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
28,Antigua and Barbuda,2015,Health personnel: Nurses and midwives (number),422.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
28,Antigua and Barbuda,2015,Health personnel: Nurses and midwives personnel (per 1000 population),4.5085,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
28,Antigua and Barbuda,2017,Health personnel: Physicians (number),282.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
28,Antigua and Barbuda,2017,Health personnel: Physicians (per 1000 population),29.5600,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
28,Antigua and Barbuda,2017,Health personnel: Nurses and midwives (number),429.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
28,Antigua and Barbuda,2017,Health personnel: Nurses and midwives personnel (per 1000 population),4.4969,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
28,Antigua and Barbuda,2018,Health personnel: Nurses and midwives personnel (per 1000 population),4.5171,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
32,Argentina,2001,Health personnel: Physicians (number),121076.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
32,Argentina,2001,Health personnel: Physicians (per 1000 population),32.4800,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
32,Argentina,2001,Health personnel: Dentists (number),35944.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
32,Argentina,2001,Health personnel: Dentists (per 1000 population),0.9592,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
32,Argentina,2001,Health personnel: Pharmacists (number),21177.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
