T26,Population employed in research and development (R&D),,,,,
32,Argentina,2005,R & D personnel: Technicians - total (number in full-time equivalent),7788.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),5705.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2008,R & D personnel: Total (number in full-time equivalent),56987.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2008,R & D personnel: Researchers - total (number in full-time equivalent),41523.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2008,R & D personnel: Researchers - women (number in full-time equivalent),20690.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2008,R & D personnel: Technicians - total (number in full-time equivalent),8236.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2008,R & D personnel: Other supporting staff - total (number in full-time equivalent),7228.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2010,R & D personnel: Researchers - total (number in full-time equivalent),45960.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2010,R & D personnel: Researchers - women (number in full-time equivalent),22901.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2017,R & D personnel: Researchers - total (number in full-time equivalent),52383.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2017,R & D personnel: Researchers - women (number in full-time equivalent),27911.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2005,R & D personnel: Total (number in full-time equivalent),6892.0000,Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2005,R & D personnel: Researchers - total (number in full-time equivalent),5056.0000,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2005,R & D personnel: Researchers - women (number in full-time equivalent),2329.0000,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2005,R & D personnel: Technicians - total (number in full-time equivalent),345.0000,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),1491.0000,Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2010,R & D personnel: Total (number in full-time equivalent),6558.0000,Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2010,R & D personnel: Researchers - total (number in full-time equivalent),4981.0000,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2010,R & D personnel: Researchers - women (number in full-time equivalent),2261.0000,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2010,R & D personnel: Technicians - total (number in full-time equivalent),479.0000,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),672.0000,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2017,R & D personnel: Total (number in full-time equivalent),4822.0000,Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2017,R & D personnel: Researchers - total (number in full-time equivalent),3588.0000,Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2017,R & D personnel: Researchers - women (number in full-time equivalent),1868.0000,Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2017,R & D personnel: Technicians - total (number in full-time equivalent),235.0000,Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2017,R & D personnel: Technicians - women (number in full-time equivalent),190.0000,Head count instead of Full-time equivalent.;Excluding business enterprise.;Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2017,R & D personnel: Other supporting staff - total (number in full-time equivalent),531.0000,Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2017,R & D personnel: Other supporting staff - women (number in full-time equivalent),283.0000,Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2004,R & D personnel: Total (number in full-time equivalent),116194.2000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2004,R & D personnel: Researchers - total (number in full-time equivalent),81191.5000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2004,R & D personnel: Technicians - total (number in full-time equivalent),17600.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2004,R & D personnel: Other supporting staff - total (number in full-time equivalent),17402.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2008,R & D personnel: Total (number in full-time equivalent),137488.7000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2008,R & D personnel: Researchers - total (number in full-time equivalent),92648.8000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2008,R & D personnel: Technicians - total (number in full-time equivalent),24243.3000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2008,R & D personnel: Other supporting staff - total (number in full-time equivalent),20596.6000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2010,R & D personnel: Total (number in full-time equivalent),147809.2000,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2010,R & D personnel: Researchers - total (number in full-time equivalent),100413.9000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2004,R & D personnel: Total (number in full-time equivalent),42891.3000,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2004,R & D personnel: Researchers - total (number in full-time equivalent),25955.2000,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2004,R & D personnel: Researchers - women (number in full-time equivalent),4739.9000,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2004,R & D personnel: Technicians - total (number in full-time equivalent),12066.9000,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2004,R & D personnel: Technicians - women (number in full-time equivalent),2901.2000,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2004,R & D personnel: Other supporting staff - total (number in full-time equivalent),4869.2000,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2004,R & D personnel: Other supporting staff - women (number in full-time equivalent),2470.5000,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2005,R & D personnel: Total (number in full-time equivalent),47625.1000,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2005,R & D personnel: Researchers - total (number in full-time equivalent),28469.6000,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2009,R & D personnel: Total (number in full-time equivalent),56437.5000,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2009,R & D personnel: Researchers - total (number in full-time equivalent),34663.7000,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2009,R & D personnel: Researchers - women (number in full-time equivalent),7765.2000,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2009,R & D personnel: Technicians - total (number in full-time equivalent),16708.6000,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2009,R & D personnel: Technicians - women (number in full-time equivalent),3902.6000,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2009,R & D personnel: Other supporting staff - total (number in full-time equivalent),5065.2000,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2009,R & D personnel: Other supporting staff - women (number in full-time equivalent),2398.1000,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2010,R & D personnel: Total (number in full-time equivalent),59923.3000,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2010,R & D personnel: Researchers - total (number in full-time equivalent),36580.9000,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2015,R & D personnel: Total (number in full-time equivalent),71396.0000,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2015,R & D personnel: Researchers - total (number in full-time equivalent),43562.0000,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2015,R & D personnel: Researchers - women (number in full-time equivalent),10114.0000,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2015,R & D personnel: Technicians - total (number in full-time equivalent),22387.0000,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2015,R & D personnel: Technicians - women (number in full-time equivalent),4651.0000,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),5447.0000,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),2326.0000,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2016,R & D personnel: Total (number in full-time equivalent),74897.0000,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2016,R & D personnel: Researchers - total (number in full-time equivalent),44933.0000,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2017,R & D personnel: Total (number in full-time equivalent),77880.0000,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2005,R & D personnel: Total (number in full-time equivalent),18164.0000,Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2005,R & D personnel: Researchers - total (number in full-time equivalent),11603.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2005,R & D personnel: Researchers - women (number in full-time equivalent),6056.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2005,R & D personnel: Technicians - total (number in full-time equivalent),1825.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),3086.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2010,R & D personnel: Total (number in full-time equivalent),17924.0000,Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2010,R & D personnel: Researchers - total (number in full-time equivalent),11037.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2010,R & D personnel: Researchers - women (number in full-time equivalent),6101.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2010,R & D personnel: Technicians - total (number in full-time equivalent),1819.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2010,R & D personnel: Technicians - women (number in full-time equivalent),2174.0000,Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),3531.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),1866.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2017,R & D personnel: Total (number in full-time equivalent),20580.0000,Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2017,R & D personnel: Researchers - total (number in full-time equivalent),14732.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2017,R & D personnel: Researchers - women (number in full-time equivalent),8698.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2017,R & D personnel: Technicians - total (number in full-time equivalent),1902.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2017,R & D personnel: Technicians - women (number in full-time equivalent),2014.0000,Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2017,R & D personnel: Other supporting staff - total (number in full-time equivalent),2244.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
