T10,Expenditure on health,,,,,
36,Australia,2015,Domestic general government health expenditure (% of total government expenditure),17.2287,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
36,Australia,2016,Domestic general government health expenditure (% of total government expenditure),17.4849,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
36,Australia,2017,Domestic general government health expenditure (% of total government expenditure),17.7973,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
40,Austria,2000,Current health expenditure (% of GDP),9.2037,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
40,Austria,2005,Current health expenditure (% of GDP),9.6270,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
40,Austria,2010,Current health expenditure (% of GDP),10.2210,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
40,Austria,2015,Current health expenditure (% of GDP),10.3678,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
40,Austria,2016,Current health expenditure (% of GDP),10.4192,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
40,Austria,2017,Current health expenditure (% of GDP),10.3966,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
40,Austria,2000,Domestic general government health expenditure (% of total government expenditure),13.3752,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
40,Austria,2005,Domestic general government health expenditure (% of total government expenditure),13.6724,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
40,Austria,2010,Domestic general government health expenditure (% of total government expenditure),14.0038,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
40,Austria,2015,Domestic general government health expenditure (% of total government expenditure),14.6911,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
40,Austria,2016,Domestic general government health expenditure (% of total government expenditure),14.9672,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
40,Austria,2017,Domestic general government health expenditure (% of total government expenditure),15.3054,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
31,Azerbaijan,2000,Current health expenditure (% of GDP),3.8937,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
31,Azerbaijan,2005,Current health expenditure (% of GDP),7.4353,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
31,Azerbaijan,2010,Current health expenditure (% of GDP),4.7678,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
31,Azerbaijan,2015,Current health expenditure (% of GDP),6.7140,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
31,Azerbaijan,2016,Current health expenditure (% of GDP),6.6631,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
31,Azerbaijan,2017,Current health expenditure (% of GDP),6.6518,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
31,Azerbaijan,2000,Domestic general government health expenditure (% of total government expenditure),4.7503,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
31,Azerbaijan,2005,Domestic general government health expenditure (% of total government expenditure),4.0804,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
31,Azerbaijan,2010,Domestic general government health expenditure (% of total government expenditure),3.1628,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
31,Azerbaijan,2015,Domestic general government health expenditure (% of total government expenditure),3.3677,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
31,Azerbaijan,2016,Domestic general government health expenditure (% of total government expenditure),3.2885,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
31,Azerbaijan,2017,Domestic general government health expenditure (% of total government expenditure),2.8143,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
44,Bahamas,2000,Current health expenditure (% of GDP),4.0339,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
44,Bahamas,2005,Current health expenditure (% of GDP),4.6509,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
44,Bahamas,2010,Current health expenditure (% of GDP),5.9243,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
44,Bahamas,2015,Current health expenditure (% of GDP),5.7144,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
44,Bahamas,2016,Current health expenditure (% of GDP),6.0714,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
44,Bahamas,2017,Current health expenditure (% of GDP),5.7589,Break in the time series.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
44,Bahamas,2000,Domestic general government health expenditure (% of total government expenditure),16.2408,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
44,Bahamas,2005,Domestic general government health expenditure (% of total government expenditure),16.6633,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
44,Bahamas,2010,Domestic general government health expenditure (% of total government expenditure),17.2666,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
44,Bahamas,2015,Domestic general government health expenditure (% of total government expenditure),15.8685,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
44,Bahamas,2016,Domestic general government health expenditure (% of total government expenditure),15.9821,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
44,Bahamas,2017,Domestic general government health expenditure (% of total government expenditure),11.2508,Break in the time series.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
48,Bahrain,2000,Current health expenditure (% of GDP),3.5613,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
48,Bahrain,2005,Current health expenditure (% of GDP),3.1756,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
48,Bahrain,2010,Current health expenditure (% of GDP),3.8429,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
48,Bahrain,2015,Current health expenditure (% of GDP),4.9751,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
48,Bahrain,2016,Current health expenditure (% of GDP),4.8582,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
48,Bahrain,2017,Current health expenditure (% of GDP),4.7481,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
48,Bahrain,2000,Domestic general government health expenditure (% of total government expenditure),10.1835,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
48,Bahrain,2005,Domestic general government health expenditure (% of total government expenditure),8.6178,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
48,Bahrain,2010,Domestic general government health expenditure (% of total government expenditure),8.4764,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
48,Bahrain,2015,Domestic general government health expenditure (% of total government expenditure),8.8287,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
48,Bahrain,2016,Domestic general government health expenditure (% of total government expenditure),8.4939,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
48,Bahrain,2017,Domestic general government health expenditure (% of total government expenditure),8.4938,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
50,Bangladesh,2000,Current health expenditure (% of GDP),2.0019,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
50,Bangladesh,2005,Current health expenditure (% of GDP),2.2755,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
50,Bangladesh,2010,Current health expenditure (% of GDP),2.4959,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
50,Bangladesh,2015,Current health expenditure (% of GDP),2.4631,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
50,Bangladesh,2016,Current health expenditure (% of GDP),2.3118,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
50,Bangladesh,2017,Current health expenditure (% of GDP),2.2742,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
50,Bangladesh,2000,Domestic general government health expenditure (% of total government expenditure),5.2098,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
50,Bangladesh,2005,Domestic general government health expenditure (% of total government expenditure),4.3888,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
50,Bangladesh,2010,Domestic general government health expenditure (% of total government expenditure),4.4394,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
50,Bangladesh,2015,Domestic general government health expenditure (% of total government expenditure),3.3797,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
50,Bangladesh,2016,Domestic general government health expenditure (% of total government expenditure),3.0201,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
50,Bangladesh,2017,Domestic general government health expenditure (% of total government expenditure),2.9945,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
52,Barbados,2000,Current health expenditure (% of GDP),5.3319,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
52,Barbados,2005,Current health expenditure (% of GDP),6.7689,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
52,Barbados,2010,Current health expenditure (% of GDP),6.7740,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
52,Barbados,2015,Current health expenditure (% of GDP),6.9671,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
52,Barbados,2016,Current health expenditure (% of GDP),6.8520,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
52,Barbados,2017,Current health expenditure (% of GDP),6.7791,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
52,Barbados,2000,Domestic general government health expenditure (% of total government expenditure),12.2769,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
52,Barbados,2005,Domestic general government health expenditure (% of total government expenditure),11.7786,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
52,Barbados,2010,Domestic general government health expenditure (% of total government expenditure),10.3745,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
52,Barbados,2015,Domestic general government health expenditure (% of total government expenditure),9.0846,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
52,Barbados,2016,Domestic general government health expenditure (% of total government expenditure),9.2936,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
52,Barbados,2017,Domestic general government health expenditure (% of total government expenditure),9.0803,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
112,Belarus,2000,Current health expenditure (% of GDP),5.4668,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
112,Belarus,2005,Current health expenditure (% of GDP),6.2765,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
112,Belarus,2010,Current health expenditure (% of GDP),5.6569,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
112,Belarus,2015,Current health expenditure (% of GDP),6.0653,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
112,Belarus,2016,Current health expenditure (% of GDP),5.9105,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
112,Belarus,2017,Current health expenditure (% of GDP),5.9258,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
